System No,Gender,rating1,fd1,rating2,fd2,rating3,fd3,rating4,fd4
77,M,3,Teaching is average,2,Communication is not there correctly,4,Teaching and communication is good,5,Teaching is excellent
78,M,3,Teaching is somewhat average,5,Excellent knowledge,4,Teaching is good,1,Teaching is not good
50,F,3,Teaching is good,1,Poor in communication skills,4,Teaching is better,5,Teaching is excellent
50,F,3,Teaching is good,1,Poor in communication skills,4,Teaching is better,5,Teaching is excellent
79,F,4,Teaching is very good,5,Teaching is damn good,2,Teaching is not that good,5,Communication is excellent
51,M,1,Teaching is slow,2,Can't able to understand the classes,5,Teaching is excellent,4,Teaching is good
80,M,3,Teaching is average,4,Communication is good,5,Teaching is excellent,1,Explanation is not good
52,F,5,Teaching is excellent,3,Teaching is good,1,Teaching is slow,1,Teaching is not good
52,F,5,Teaching is excellent,3,Teaching is good,1,Teaching is slow,1,Teaching is not good
81,M,4,Explanation is very good,5,Explanation is excellent,3,Communication is good,2,Lack of interaction
53,M,4,Teaching is very good,3,Teaching is average,1,Teaching is slow,4,Teaching is very good
54,F,4,Teaching is very good,1,Can't able to understand the classes,2,Average,5,Extraordinary
2,M,2,We are not comfortable with hand writing ,3,The way of teaching is satisfactory,1,He is very rude towards students,4,We show enthusiasm for the subject
55,M,1,Very slow,3,Average,5,Excellent,4,Very good
82,F,4,Teaching is good,5,Explanation is excellent,2,Lack of communication,1,Teaching is not good
56,M,4,Teaching is very good,1,Teaching is slow,2,Teaching is average,5,Teaching is extraordinary
83,F,4,Explanation is good,5,Communication is excellent,5,Excellent practicals explanation,5,Interaction is good
57,M,5,Excellent,4,Very good,1,Very slow,2,Average
84,M,3,Explanation is average,5,Communication is excellent,3,Teaching is average,1,Teaching is not good
58,F,1,Very slow in teaching,4,Good in communication skills,5,Extraordinary in teaching,3,Average
85,F,2,Teaching is not good,2,Cannot understand the concepts,4,Teaching is good,4,Communucation is good
3,M,1,Teaching skills are worst,2,Not happy with your teaching,3,Way of teaching is not leasenable,5,Generate curiosity towards subject
59,M,5,Excellent in teaching,4,Good in commumication skills,3,Average,2,Very slow
86,F,1,Explanation is too fast,4,Teaching is excellent,2,Lack of communication,5,Teaching is excellent
59,M,5,Excellent in teaching,4,Good in commumication skills,3,Average,2,Very slow
87,M,3,Explanation is average,2,Concept is not clear,4,Teaching is excellent,1,Concepts are not clear
60,M,5,Excellent in teaching,3,Good,1,Very slow,2,Average
4,M,1,Behavior is not good,2,Doesn't have good communication,3,Teaching is good but rude behavior,5,Way of explaining is ossum
88,M,3,Teaching is average,5,Teaching is excellent,2,Communication is lacking,1,Concepts are not clear
89,M,2,Explanation is too fast,4,Teaching is good,3,Teaching is average,5,Teaching is excellent
90,F,4,Teaching is good,5,Teaching is excellent,2,Lack of communication,3,Interactio is good
5,M,1,Do not teach what is in textbook,2,Teaching skills are confusing,4,Good in this field,5,Explains the most difficult concept in very simple and clear
16,F,3,Does not clarify doubts ,4,Explains in an easy manner,3,Does not maintain punctuality ,4,Process of teaching attracts every one
